Date,B_Open,B_High,B_Low,B_Close,B_Volume,B_Value,B_weighted_Price,Inflation,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adj_Close,DJ_Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Fed
2012-01-22,6.79,6.83,6.03,6.79,81.27,501.41,6.17,2.9,12623.83,12720.48,12620.76,12720.48,12720.48,255110000,1654.86,1667.01,1645.31,1666.55,0.09
2012-01-23,6.5,6.52,6,6.52,94.92,608.48,6.41,2.9,12720.25,12764.49,12665.83,12708.82,12708.82,149860000,1664.4,1681.64,1663.13,1679.51,0.09
2012-01-24,6.52,6.57,6,6.55,85.45,550.64,6.44,2.9,12708.37,12708.52,12613.54,12675.75,12675.75,125420000,1679.42,1679.67,1661.69,1666.86,0.09
2012-01-25,6.26,6.86,6,6.31,81.12,505.99,6.24,2.9,12673.63,12778.26,12580.12,12758.85,12758.85,135430000,1666.25,1713.02,1649.44,1710.09,0.08
2012-01-26,6.27,6.3,5.5,5.5,29.92,183.92,6.15,2.9,12756.96,12841.95,12695.16,12734.63,12734.63,130840000,1710.72,1730.26,1703.39,1719.6,0.08
2012-01-27,3.8,6.03,3.8,5.88,92.08,528.44,5.74,2.9,12733.95,12733.95,12630.72,12660.46,12660.46,164410000,1719.65,1739.92,1714.77,1739.09,0.09
2012-01-28,4.91,4.91,4.91,4.91,0.25,1.23,4.91,2.9,12733.95,12733.95,12630.72,12660.46,12660.46,164410000,1719.65,1739.92,1714.77,1739.09,0.09
2012-01-29,5.89,5.9,5.3,5.5,9.45,52.21,5.52,2.9,12733.95,12733.95,12630.72,12660.46,12660.46,164410000,1719.65,1739.92,1714.77,1739.09,0.09
2012-01-30,5.3,5.58,5.3,5.58,15.16,83.92,5.54,2.9,12659.17,12659.32,12529.41,12653.72,12653.72,130430000,1737.98,1738.16,1716.53,1730.07,0.09
2012-01-31,5.7,6.22,3.8,5.3,110.5,639.08,5.78,2.9,12654.78,12720.1,12567.33,12632.91,12632.91,168070000,1736.74,1747.58,1726.96,1736.01,0.11
2012-02-01,5.53,5.99,5.52,5.88,12.06,71.2,5.9,2.9,12632.76,12784.62,12632.76,12716.46,12716.46,143500000,1736.74,1750.99,1732.81,1745.08,0.11
2012-02-02,5.99,6.28,5.89,6.28,251,1541.85,6.14,2.9,12716.54,12741.89,12676.05,12705.41,12705.41,114360000,1745.57,1761.17,1741.19,1756.78,0.11
2012-02-03,6.29,6.35,5.93,6.3,155.55,950.75,6.11,2.9,12705.04,12869.95,12704.96,12862.23,12862.23,142840000,1756.22,1763.34,1723.97,1726.3,0.11
2012-02-04,6.35,6.5,5.94,5.94,67.63,407.87,6.03,2.9,12705.04,12869.95,12704.96,12862.23,12862.23,142840000,1756.22,1763.34,1723.97,1726.3,0.11
2012-02-05,5.93,6.15,5.6,5.6,47.85,280.37,5.86,2.9,12705.04,12869.95,12704.96,12862.23,12862.23,142840000,1756.22,1763.34,1723.97,1726.3,0.11
2012-02-06,5.6,5.9,5.2,5.6,29.18,161.85,5.55,2.9,12860.72,12860.79,12793.43,12845.13,12845.13,108040000,1730.93,1738.2,1712.13,1720.77,0.11
2012-02-07,5.5,5.88,5.5,5.69,165.41,937.13,5.67,2.9,12844.37,12903.71,12782.57,12878.2,12878.2,116150000,1719.37,1749.9,1710.39,1744.9,0.11
2012-02-08,5.79,5.87,5.66,5.87,83.57,477.33,5.71,2.9,12865.79,12893.64,12817.69,12883.95,12883.95,138250000,1744.42,1751.74,1725.38,1732.1,0.11
2012-02-09,5.52,5.89,5.51,5.89,83.6,482.91,5.78,2.9,12884.41,12924.71,12846.41,12890.46,12890.46,157080000,1732.37,1752.13,1726.01,1731.05,0.11
2012-02-10,5.88,5.88,5.8,5.88,176.93,1040.24,5.88,2.9,12889.55,12889.63,12743.56,12801.23,12801.23,123620000,1731.29,1734.76,1704.99,1721.7,0.12
