"Date","Open","High","Low","Close"
"Jul 15, 2016","$1,333.92","$1,338.81","$1,322.80","$1,337.60"
"Jul 14, 2016","$1,345.04","$1,346.91","$1,320.50","$1,334.30"
"Jul 13, 2016","$1,333.39","$1,347.50","$1,327.92","$1,344.93"
"Jul 12, 2016","$1,353.59","$1,357.74","$1,330.45","$1,334.00"
"Jul 11, 2016","$1,372.92","$1,373.00","$1,351.49","$1,353.55"
"Jul 08, 2016","$1,360.74","$1,369.60","$1,335.93","$1,366.30"
"Jul 07, 2016","$1,367.36","$1,370.63","$1,351.21","$1,361.28"
"Jul 06, 2016","$1,359.42","$1,375.24","$1,359.42","$1,367.07"
"Jul 05, 2016","$1,349.55","$1,360.11","$1,338.39","$1,359.68"
"Jul 04, 2016","$1,341.68","$1,357.50","$1,340.59","$1,349.71"
"Jul 01, 2016","$1,322.88","$1,344.62","$1,320.72","$1,341.08"
"Jun 30, 2016","$1,315.40","$1,324.11","$1,313.10","$1,323.28"
"Jun 29, 2016","$1,312.91","$1,328.70","$1,312.83","$1,315.74"
"Jun 28, 2016","$1,324.90","$1,326.29","$1,305.72","$1,312.88"
"Jun 27, 2016","$1,330.25","$1,335.38","$1,317.90","$1,324.50"
"Jun 24, 2016","$1,260.60","$1,357.20","$1,258.21","$1,315.60"
"Jun 23, 2016","$1,262.04","$1,271.11","$1,251.34","$1,258.49"
"Jun 22, 2016","$1,268.66","$1,270.77","$1,261.39","$1,262.72"
"Jun 21, 2016","$1,288.84","$1,293.97","$1,263.10","$1,268.69"
"Jun 20, 2016","$1,290.11","$1,292.36","$1,278.10","$1,288.52"
"Jun 17, 2016","$1,281.28","$1,301.30","$1,277.27","$1,298.67"
"Jun 16, 2016","$1,292.26","$1,315.63","$1,277.40","$1,281.90"
"Jun 15, 2016","$1,285.63","$1,296.73","$1,278.59","$1,291.95"
"Jun 14, 2016","$1,283.85","$1,294.50","$1,276.58","$1,285.89"
"Jun 13, 2016","$1,276.84","$1,287.11","$1,272.77","$1,283.56"
"Jun 10, 2016","$1,269.15","$1,277.92","$1,264.70","$1,273.88"
"Jun 09, 2016","$1,262.39","$1,271.68","$1,256.97","$1,268.99"
"Jun 08, 2016","$1,244.36","$1,265.50","$1,243.19","$1,262.37"
"Jun 07, 2016","$1,245.41","$1,246.60","$1,235.03","$1,244.32"
"Jun 06, 2016","$1,245.42","$1,248.77","$1,240.21","$1,245.05"
"Jun 03, 2016","$1,207.88","$1,244.90","$1,207.70","$1,244.36"
"Jun 02, 2016","$1,213.47","$1,217.58","$1,207.09","$1,208.27"
"Jun 01, 2016","$1,215.60","$1,220.40","$1,206.19","$1,213.53"
"May 31, 2016","$1,210.04","$1,218.32","$1,208.50","$1,215.43"
"May 30, 2016","$1,209.26","$1,210.97","$1,200.09","$1,209.59"
"May 27, 2016","$1,219.89","$1,223.46","$1,207.06","$1,212.88"
"May 26, 2016","$1,222.58","$1,234.32","$1,218.52","$1,219.95"
"May 25, 2016","$1,227.27","$1,230.25","$1,217.87","$1,223.11"
"May 24, 2016","$1,249.59","$1,252.07","$1,226.44","$1,227.62"
"May 23, 2016","$1,251.96","$1,255.95","$1,243.26","$1,249.91"
"May 20, 2016","$1,256.60","$1,259.92","$1,249.04","$1,252.30"
"May 19, 2016","$1,260.44","$1,261.34","$1,244.12","$1,256.77"
"May 18, 2016","$1,280.41","$1,280.46","$1,255.17","$1,260.68"
"May 17, 2016","$1,275.01","$1,282.21","$1,269.75","$1,280.64"
"May 16, 2016","$1,272.98","$1,288.49","$1,271.23","$1,274.96"
"May 13, 2016","$1,265.33","$1,276.43","$1,263.68","$1,273.07"
"May 12, 2016","$1,278.48","$1,280.93","$1,262.03","$1,265.35"
"May 11, 2016","$1,266.74","$1,279.01","$1,264.98","$1,278.38"
"May 10, 2016","$1,264.61","$1,269.50","$1,257.29","$1,266.81"
"May 09, 2016","$1,286.84","$1,287.66","$1,261.45","$1,264.78"
"May 06, 2016","$1,277.18","$1,295.59","$1,274.66","$1,287.66"
"May 05, 2016","$1,281.83","$1,286.19","$1,269.07","$1,277.28"
"May 04, 2016","$1,285.54","$1,289.37","$1,271.82","$1,281.52"
"May 03, 2016","$1,291.80","$1,301.83","$1,282.58","$1,285.14"
"May 02, 2016","$1,292.50","$1,303.74","$1,287.84","$1,292.04"
"Apr 29, 2016","$1,266.44","$1,296.65","$1,265.13","$1,293.15"
"Apr 28, 2016","$1,245.19","$1,269.70","$1,238.25","$1,266.14"
"Apr 27, 2016","$1,242.82","$1,252.50","$1,240.50","$1,245.21"
"Apr 26, 2016","$1,237.45","$1,244.85","$1,231.65","$1,242.81"
"Apr 25, 2016","$1,231.58","$1,242.15","$1,230.25","$1,237.61"
"Apr 22, 2016","$1,249.78","$1,252.45","$1,227.54","$1,232.56"
"Apr 21, 2016","$1,244.49","$1,270.25","$1,243.55","$1,249.85"
"Apr 20, 2016","$1,250.28","$1,258.05","$1,242.60","$1,244.57"
"Apr 19, 2016","$1,231.67","$1,256.73","$1,227.84","$1,250.45"
"Apr 18, 2016","$1,238.19","$1,241.75","$1,230.14","$1,231.85"
"Apr 15, 2016","$1,228.04","$1,235.88","$1,225.45","$1,234.20"
